iter	RMSE
0	8.728197315
1	8.251551712
2	7.769877986
3	7.37049254
4	7.01668514
5	6.697169389
6	6.419492286
7	6.130399556
8	5.857082739
9	5.591376462
10	5.323532389
11	5.134178258
12	4.919081132
13	4.712666354
14	4.545563217
15	4.369113414
16	4.215107081
17	4.091683095
18	3.987469938
19	3.843121314
20	3.721764394
21	3.634335266
22	3.565165979
23	3.475250976
24	3.404050157
25	3.336886896
26	3.280191844
27	3.239286258
28	3.206912709
29	3.14305516
30	3.091806269
31	3.022211593
32	2.98831319
33	2.944631096
34	2.904820305
35	2.872516533
36	2.8521569
37	2.805979301
38	2.759229212
39	2.721534293
40	2.678878726
41	2.656138262
42	2.62718904
43	2.590616929
44	2.559161988
45	2.54593484
46	2.524042942
47	2.498873878
48	2.473327254
49	2.447842124
50	2.430444717
51	2.409479631
52	2.390702518
53	2.375280818
54	2.360007254
55	2.352287942
56	2.328252344
57	2.323862544
58	2.307159496
59	2.299442683
60	2.286932392
61	2.263853506
62	2.248711609
63	2.229474487
64	2.218122557
65	2.204973867
66	2.188885043
67	2.169770673
68	2.159751218
69	2.156043342
70	2.148508639
71	2.13508276
72	2.124734936
73	2.111603448
74	2.096220874
75	2.083617092
76	2.072266951
77	2.058811392
78	2.055840481
79	2.039449513
80	2.025932939
81	2.013474221
82	1.999299484
83	1.98904578
84	1.985548212
85	1.970344115
86	1.960579817
87	1.948928683
88	1.935056287
89	1.923825368
90	1.910032402
91	1.902423425
92	1.892761427
93	1.877477465
94	1.872800711
95	1.858240946
96	1.853708539
97	1.838265506
98	1.832531895
99	1.822340038
