iter	Passed	Remaining
0	2	271
1	4	211
2	5	185
3	7	170
4	8	161
5	9	151
6	10	145
7	12	144
8	17	175
9	18	170
10	20	164
11	21	159
12	23	155
13	24	151
14	25	146
15	27	143
16	28	140
17	30	137
18	31	133
19	32	131
20	34	130
21	36	128
22	37	125
23	38	123
24	40	121
25	41	118
26	42	116
27	44	113
28	45	111
29	47	110
30	48	108
31	49	105
32	51	104
33	52	102
34	53	100
35	55	98
36	56	95
37	57	93
38	58	92
39	60	90
40	61	88
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	76	70
52	78	69
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	87	58
60	89	57
61	90	55
62	92	54
63	93	52
64	94	51
65	96	49
66	97	48
67	99	46
68	100	45
69	101	43
70	103	42
71	105	40
72	106	39
73	107	37
74	109	36
75	110	34
76	112	33
77	113	31
78	114	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	130	14
90	131	13
91	132	11
92	134	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	142	1
99	143	0
